PERIOD,PT
2018,1.000
2019,1.012
2020,1.023
2021,1.035
2022,1.047
2023,1.061
2024,1.080
2025,1.098
2026,1.116
2027,1.134
2028,1.152
2029,1.170
2030,1.188
2031,1.206
2032,1.223
2033,1.240
2034,1.257
2035,1.273
2036,1.290
2037,1.306
2038,1.323
2039,1.340
2040,1.357
2041,1.374
2042,1.391
